,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,TEN,GB,ARI,NO,BAL,NYG,TB,KC,NYJ,IND,ATL,CLE,CHI,PIT,DAL,NE,LAC
1,TEN,LAC,ARI,GB,BAL,NYG,TB,KC,ATL,IND,NYJ,CLE,PHI,NO,DAL,PIT,NE
2,TEN,GB,ARI,ATL,BAL,NYG,TB,KC,NYJ,IND,LAC,CLE,MIN,NO,OAK,PIT,NE
3,CHI,PHI,ARI,ATL,BAL,NYG,TB,KC,NYJ,IND,DAL,CLE,NO,PIT,OAK,NE,LAC
4,TEN,PHI,MIN,ATL,BAL,PIT,TB,KC,NYJ,IND,DAL,CLE,NYG,NO,OAK,NE,LAC
5,CHI,PHI,NE,NO,BAL,NYG,TB,KC,GB,IND,LAC,CLE,MIN,ATL,OAK,PIT,NYJ
6,CHI,LAC,MIN,GB,BAL,NYG,TB,KC,ATL,IND,DAL,CLE,NO,PIT,OAK,NE,NYJ
7,TEN,LAC,MIN,GB,BAL,PIT,TB,KC,NYJ,IND,DAL,CLE,PHI,NO,OAK,NE,ATL
8,TEN,GB,MIN,ATL,BAL,NYG,TB,KC,NYJ,IND,NO,CLE,PHI,PIT,OAK,NE,LAC
9,TEN,LAC,ARI,ATL,BAL,NYG,TB,KC,GB,IND,DAL,CLE,MIN,PIT,OAK,NE,NYJ
10,TEN,PHI,ARI,GB,BAL,PIT,TB,KC,NYJ,IND,LAC,CLE,CHI,NO,DAL,NE,ATL
11,CHI,GB,MIN,ATL,BAL,NYG,TB,KC,NYJ,IND,DAL,CLE,PHI,NO,NE,PIT,LAC
12,CHI,PHI,ARI,GB,BAL,PIT,TB,KC,ATL,IND,NYJ,CLE,NYG,NO,OAK,NE,LAC
13,CHI,PHI,NE,NO,BAL,NYG,TB,KC,GB,IND,DAL,NYJ,MIN,ATL,OAK,PIT,LAC
14,CHI,PHI,MIN,NO,BAL,PIT,TB,KC,NYJ,IND,DAL,CLE,GB,ATL,OAK,NE,LAC
15,TEN,GB,MIN,ATL,BAL,NYG,TB,KC,NYJ,IND,LAC,CLE,PHI,NO,OAK,PIT,NE
16,CHI,PHI,NE,GB,BAL,NYG,TB,KC,ATL,IND,NYJ,CLE,MIN,NO,OAK,PIT,LAC
17,CHI,LAC,MIN,GB,BAL,NYG,TB,KC,ATL,IND,DAL,NE,PHI,NO,OAK,PIT,NYJ
