,date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
48,2013-09-26,2013,0,0,LAR,SF,1440.358,1561.495,0.419908128,11,35,0.0
49,2013-09-29,2013,0,0,BUF,BAL,1427.6429999999998,1630.896,0.31091432,23,20,1.0
50,2013-09-29,2013,0,0,ATL,NE,1566.4070000000002,1656.1870000000001,0.464399059,23,30,0.0
51,2013-09-29,2013,1,0,PIT,MIN,1447.807,1476.7060000000001,0.458506643,27,34,0.0
52,2013-09-29,2013,0,0,KC,NYG,1432.527,1489.45,0.511621644,31,7,1.0
53,2013-09-29,2013,0,0,JAX,IND,1291.119,1546.8429999999998,0.250134404,3,37,0.0
54,2013-09-29,2013,0,0,TEN,NYJ,1488.736,1450.9270000000001,0.643781752,38,13,1.0
55,2013-09-29,2013,0,0,CLE,CIN,1414.565,1572.634,0.369177205,17,6,1.0
56,2013-09-29,2013,0,0,OAK,WSH,1400.105,1447.226,0.525707261,14,24,0.0
57,2013-09-29,2013,0,0,DEN,PHI,1669.66,1386.73,0.881095574,52,20,1.0
58,2013-09-29,2013,0,0,LAC,DAL,1480.418,1520.3770000000002,0.535974626,30,21,1.0
59,2013-09-29,2013,0,0,TB,ARI,1443.174,1412.221,0.634680606,10,13,0.0
60,2013-09-29,2013,0,0,HOU,SEA,1565.4,1650.316,0.471369924,20,23,0.0
61,2013-09-29,2013,0,0,DET,CHI,1472.191,1576.835,0.443194019,40,32,1.0
62,2013-09-30,2013,0,0,NO,MIA,1576.6770000000001,1544.017,0.63695591,38,17,1.0
