,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,IND,GB,SEA,DEN,LAR,CHI,ATL,NO,DAL,NYG,CIN,BAL,SF,NE,CAR,LAC,PIT
1,IND,ATL,NO,DEN,LAR,CHI,GB,SF,DAL,NYG,CIN,BAL,CAR,NE,SEA,LAC,TEN
2,IND,ATL,SEA,DEN,LAR,KC,GB,NO,DAL,NYG,CIN,BAL,CAR,NE,SF,LAC,PIT
3,IND,ATL,NO,DEN,LAR,CHI,GB,CIN,DAL,NYG,SEA,BAL,CAR,NE,SF,LAC,PIT
4,IND,GB,SEA,DEN,LAR,KC,ATL,NO,DAL,NYG,CIN,BAL,CAR,NE,SF,LAC,PIT
5,IND,GB,SEA,DEN,LAR,CHI,ATL,NO,DAL,NYG,CIN,BAL,CAR,NE,SF,LAC,PIT
6,IND,GB,NO,DEN,LAR,CHI,ATL,SF,SEA,NYG,CIN,BAL,DAL,NE,CAR,LAC,PIT
7,IND,GB,NO,DEN,LAR,KC,ATL,CIN,DAL,NYG,SEA,BAL,CAR,NE,SF,LAC,PIT
8,IND,GB,SEA,DEN,LAR,KC,ATL,NO,DAL,NYG,CIN,BAL,SF,NE,CAR,LAC,TEN
9,IND,GB,NO,DEN,LAR,CHI,ATL,SF,DAL,NYG,CIN,BAL,CAR,NE,SEA,LAC,PIT
10,IND,ATL,NO,DEN,LAR,CHI,GB,SF,SEA,NYG,CIN,BAL,DAL,NE,CAR,LAC,PIT
11,IND,GB,SEA,DEN,LAR,CHI,ATL,NO,DAL,NYG,CIN,BAL,CAR,NE,SF,LAC,TEN
12,IND,ATL,SEA,DEN,LAR,KC,GB,NO,DAL,NYG,CIN,BAL,SF,NE,CAR,LAC,TEN
13,IND,GB,NO,DEN,LAR,CHI,ATL,CIN,DAL,NYG,SEA,BAL,SF,NE,CAR,LAC,PIT
14,IND,GB,SEA,DEN,LAR,CHI,ATL,NO,DAL,NYG,CIN,BAL,SF,NE,CAR,LAC,TEN
15,IND,ATL,NO,DEN,LAR,CHI,GB,SF,SEA,NYG,CIN,BAL,DAL,NE,CAR,LAC,TEN
16,IND,GB,SEA,DEN,LAR,KC,ATL,NO,DAL,NYG,CIN,BAL,CAR,NE,SF,LAC,TEN
17,IND,GB,NO,DEN,LAR,KC,ATL,SF,SEA,NYG,CIN,BAL,DAL,NE,CAR,LAC,TEN
18,IND,GB,NO,DEN,LAR,CHI,ATL,CIN,DAL,NYG,SEA,BAL,CAR,NE,SF,LAC,PIT
19,IND,GB,SEA,DEN,LAR,KC,ATL,NO,DAL,NYG,CIN,BAL,SF,NE,CAR,LAC,PIT
20,IND,GB,NO,DEN,LAR,KC,ATL,CIN,DAL,NYG,SEA,BAL,SF,NE,CAR,LAC,TEN
21,IND,GB,NO,DEN,LAR,KC,ATL,CIN,DAL,NYG,SEA,BAL,CAR,NE,SF,LAC,TEN
23,IND,GB,NO,DEN,LAR,CHI,ATL,CIN,DAL,NYG,SEA,BAL,CAR,NE,SF,LAC,TEN
26,IND,GB,NO,DEN,LAR,CHI,ATL,SF,DAL,NYG,CIN,BAL,CAR,NE,SEA,LAC,TEN
27,IND,ATL,SEA,DEN,LAR,CHI,GB,NO,DAL,NYG,CIN,BAL,SF,NE,CAR,LAC,TEN
28,IND,ATL,NO,DEN,LAR,KC,GB,SF,SEA,NYG,CIN,BAL,DAL,NE,CAR,LAC,PIT
30,IND,ATL,NO,DEN,LAR,CHI,GB,SF,DAL,NYG,CIN,BAL,CAR,NE,SEA,LAC,PIT
31,IND,GB,NO,DEN,LAR,KC,ATL,SF,DAL,NYG,CIN,BAL,CAR,NE,SEA,LAC,PIT
37,IND,GB,NO,DEN,LAR,KC,ATL,SF,DAL,NYG,CIN,BAL,CAR,NE,SEA,LAC,TEN
38,IND,ATL,NO,DEN,LAR,KC,GB,CIN,DAL,NYG,SEA,BAL,CAR,NE,SF,LAC,PIT
39,IND,ATL,SEA,DEN,LAR,CHI,GB,NO,DAL,NYG,CIN,BAL,CAR,NE,SF,LAC,TEN
43,IND,GB,NO,DEN,LAR,CHI,ATL,SF,SEA,NYG,CIN,BAL,DAL,NE,CAR,LAC,TEN
49,IND,ATL,NO,DEN,LAR,KC,GB,SF,SEA,NYG,CIN,BAL,DAL,NE,CAR,LAC,TEN
