date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
9/5/2013,2013,0,0,DEN,BAL,1608.906,1628.207,0.565389486,49,27,1
9/8/2013,2013,0,0,DAL,NYG,1487.509,1567.612,0.478278716,36,31,1
9/8/2013,2013,0,0,SF,GB,1624.169,1603.929,0.620266818,34,28,1
9/8/2013,2013,0,0,LAR,ARI,1464.154,1420.28,0.651747431,27,24,1
9/8/2013,2013,0,0,BUF,NE,1444.702,1634.979,0.327139271,21,23,0
9/8/2013,2013,0,0,CHI,CIN,1532.011,1553.913,0.561706829,24,21,1
9/8/2013,2013,0,0,CLE,MIA,1422.474,1481.411,0.508724473,10,23,0
9/8/2013,2013,0,0,IND,OAK,1510.386,1401.486,0.731264749,21,17,1
9/8/2013,2013,0,0,DET,MIN,1432.974,1534.169,0.448098833,34,24,1
9/8/2013,2013,0,0,JAX,KC,1348.879,1354.319,0.58488385,2,28,0
9/8/2013,2013,0,0,NO,ATL,1533.575,1589.867,0.512529196,23,17,1
9/8/2013,2013,0,0,NYJ,TB,1431.781,1469.671,0.538935439,18,17,1
9/8/2013,2013,0,0,PIT,TEN,1521.347,1457.8,0.676990611,9,16,0
9/8/2013,2013,0,0,CAR,SEA,1519.013,1600.343,0.476516531,7,12,0
9/9/2013,2013,0,0,WSH,PHI,1521.755,1400.368,0.745153687,27,33,0
9/9/2013,2013,0,0,LAC,HOU,1490.732,1563.927,0.488208634,28,31,0
9/12/2013,2013,0,0,NE,NYJ,1641.78,1438.095,0.824433007,13,10,1
9/15/2013,2013,0,0,TB,NO,1463.357,1552.472,0.465351348,14,16,0
9/15/2013,2013,0,0,CHI,MIN,1543.93,1507.258,0.642279378,31,30,1
9/15/2013,2013,0,0,BUF,CAR,1437.901,1502.063,0.501205977,24,23,1
9/15/2013,2013,0,0,PHI,LAC,1432.053,1477.246,0.528473724,30,33,0
9/15/2013,2013,0,0,GB,WSH,1589.702,1490.071,0.720650827,38,20,1
9/15/2013,2013,0,0,NYG,DEN,1548.787,1635.606,0.468641149,23,41,0
9/15/2013,2013,0,0,BAL,CLE,1601.508,1395.549,0.826319685,14,6,1
9/15/2013,2013,0,0,SEA,SF,1617.294,1638.397,0.562838846,29,3,1
9/15/2013,2013,0,0,IND,MIA,1518.402,1508.336,0.60637851,20,24,0
9/15/2013,2013,0,0,OAK,JAX,1393.469,1309.253,0.702442558,19,9,1
9/15/2013,2013,0,0,ARI,DET,1411.08,1459.884,0.523291049,25,21,1
9/15/2013,2013,0,0,HOU,TEN,1577.413,1487.703,0.709010334,30,24,1
9/15/2013,2013,0,0,KC,DAL,1393.945,1506.335,0.432220131,17,16,1
9/15/2013,2013,0,0,ATL,LAR,1570.97,1473.355,0.71830861,31,24,1
9/16/2013,2013,0,0,CIN,PIT,1541.995,1491.445,0.660418393,20,10,1
9/19/2013,2013,0,0,PHI,KC,1417.267,1401.99,0.613514977,16,26,0
9/22/2013,2013,0,0,TEN,LAC,1477.122,1492.032,0.571589987,20,17,1
9/22/2013,2013,0,0,SEA,JAX,1645.546,1295.889,0.915827331,45,17,1
9/22/2013,2013,0,0,SF,IND,1610.144,1498.194,0.734700992,7,27,0
9/22/2013,2013,0,0,WSH,DET,1474.765,1444.652,0.63355873,20,27,0
9/22/2013,2013,0,0,DAL,LAR,1498.29,1462.446,0.641183536,31,7,1
9/22/2013,2013,0,0,BAL,HOU,1608.303,1587.994,0.620360367,30,9,1
9/22/2013,2013,0,0,CAR,NYG,1495.151,1521.46,0.555451787,38,0,1
9/22/2013,2013,0,0,CIN,GB,1557.468,1605.007,0.525107264,34,30,1
9/22/2013,2013,0,0,MIA,ATL,1528.544,1581.879,0.516780979,27,23,1
9/22/2013,2013,0,0,MIN,CLE,1502.518,1388.754,0.736731348,27,31,0
9/22/2013,2013,0,0,NO,ARI,1562.586,1426.312,0.761083013,31,7,1
9/22/2013,2013,0,0,NE,TB,1646.118,1453.243,0.815243459,23,3,1
9/22/2013,2013,0,0,NYJ,BUF,1433.757,1444.813,0.577013799,27,20,1
9/22/2013,2013,0,0,PIT,CHI,1475.972,1548.67,0.4889235,23,40,0
9/23/2013,2013,0,0,DEN,OAK,1662.932,1406.833,0.86393848,37,21,1
9/26/2013,2013,0,0,LAR,SF,1440.358,1561.495,0.419908128,11,35,0
9/29/2013,2013,0,0,BUF,BAL,1427.643,1630.896,0.31091432,23,20,1
9/29/2013,2013,0,0,ATL,NE,1566.407,1656.187,0.464399059,23,30,0
9/29/2013,2013,1,0,PIT,MIN,1447.807,1476.706,0.458506643,27,34,0
9/29/2013,2013,0,0,KC,NYG,1432.527,1489.45,0.511621644,31,7,1
9/29/2013,2013,0,0,JAX,IND,1291.119,1546.843,0.250134404,3,37,0
9/29/2013,2013,0,0,TEN,NYJ,1488.736,1450.927,0.643781752,38,13,1
9/29/2013,2013,0,0,CLE,CIN,1414.565,1572.634,0.369177205,17,6,1
9/29/2013,2013,0,0,OAK,WSH,1400.105,1447.226,0.525707261,14,24,0
9/29/2013,2013,0,0,DEN,PHI,1669.66,1386.73,0.881095574,52,20,1
9/29/2013,2013,0,0,LAC,DAL,1480.418,1520.377,0.535974626,30,21,1
9/29/2013,2013,0,0,TB,ARI,1443.174,1412.221,0.634680606,10,13,0
9/29/2013,2013,0,0,HOU,SEA,1565.4,1650.316,0.471369924,20,23,0
9/29/2013,2013,0,0,DET,CHI,1472.191,1576.835,0.443194019,40,32,1
9/30/2013,2013,0,0,NO,MIA,1576.677,1544.017,0.63695591,38,17,1
10/3/2013,2013,0,0,CLE,BUF,1447.301,1448.029,0.591453994,37,24,1
10/6/2013,2013,0,0,DAL,DEN,1499.249,1676.84,0.343411987,48,51,0
10/6/2013,2013,0,0,IND,SEA,1563.211,1663.268,0.449719445,34,28,1
10/6/2013,2013,0,0,LAR,JAX,1413.998,1274.752,0.764179987,34,20,1
10/6/2013,2013,0,0,OAK,LAC,1374.687,1501.547,0.411905236,27,17,1
10/6/2013,2013,0,0,CHI,NO,1551.917,1598.167,0.526957254,18,26,0
10/6/2013,2013,0,0,SF,HOU,1587.855,1552.448,0.640604579,34,3,1
10/6/2013,2013,0,0,TEN,KC,1510.911,1463.852,0.655897163,17,26,0
10/6/2013,2013,0,0,NYG,PHI,1458.125,1379.551,0.695609787,21,36,0
10/6/2013,2013,0,0,MIA,BAL,1522.527,1610.51,0.466972964,23,26,0
10/6/2013,2013,0,0,CIN,NE,1539.898,1675.286,0.400067012,13,6,1
10/6/2013,2013,0,0,ARI,CAR,1430.62,1527.161,0.454733138,22,6,1
10/6/2013,2013,0,0,GB,DET,1589.841,1497.109,0.712586299,22,9,1
10/7/2013,2013,0,0,ATL,NYJ,1547.308,1428.751,0.742047736,28,30,0
10/10/2013,2013,0,0,CHI,NYG,1528.561,1416.859,0.734422637,27,21,1
10/13/2013,2013,0,0,DEN,JAX,1685.898,1263.065,0.943116928,35,19,1
10/13/2013,2013,0,0,MIN,CAR,1495.528,1495.814,0.592068659,10,35,0
10/13/2013,2013,0,0,DAL,WSH,1490.191,1472.644,0.616608757,31,16,1
10/13/2013,2013,0,0,CLE,DET,1468.252,1482.954,0.571883162,17,31,0
10/13/2013,2013,0,0,HOU,LAR,1528.624,1425.686,0.724467006,13,38,0
10/13/2013,2013,0,0,TB,PHI,1424.774,1420.816,0.597955644,20,31,0
10/13/2013,2013,0,0,SF,ARI,1611.679,1461.967,0.774863784,32,20,1
10/13/2013,2013,0,0,SEA,TEN,1641.505,1479.085,0.787368333,20,13,1
10/13/2013,2013,0,0,BAL,GB,1623.323,1603.996,0.619028144,17,19,0
10/13/2013,2013,0,0,NYJ,PIT,1446.54,1428.985,0.616619644,6,19,0
10/13/2013,2013,0,0,NE,NO,1649.511,1621.523,0.6307142,30,27,1
10/13/2013,2013,0,0,KC,OAK,1495.679,1403.707,0.711689453,24,7,1
10/13/2013,2013,0,0,BUF,CIN,1427.078,1565.673,0.395644415,24,27,0
